OrderID,Order Time,Tên chung,Số lượng,Tổng tiền,Trạng thái,Tên shop,Chi tiết,Tiền gốc
4.17469E+13,28/04/2020,Bộ Phát WiFi 4G alcatel ee70,1,1.112.250 ₫,Hoàn thành,wifishop_vn - Open Shop-Sim du lịch-Wifi 4G,,1112250
4.1253E+13,22/04/2020,Túi Đựng Bánh Xe Đạp Leo Núi Chống Thấm Nước,1,179.000 ₫,Hoàn thành,highdreams.vn - highdreams.vn,27.5inch Wheel Bag,179000
4.08777E+13,18/04/2020,Chân đế kẹp giữ Macbook laptop stand ipad Surface nhôm dạng kép,1,295.500 ₫,Hoàn thành,vu.studio - Vu Studio,Mẫu 1 Kép Bạc,295500
4.02819E+13,11/04/2020,Bộ vặn vít đa năng 46 chi tiết mẫu mới - Bosch chính hãng,1,441.700 ₫,Hoàn thành,ctyquocthien - CÔNG TY QUỐC THIÊN,,441700
3.96244E+13,03/04/2020,"Bàn phím bluetooth 10"" có touchpad hỗ trợ iOS/Android/Windows",1,324.500 ₫,Hoàn thành,esshopvn - Điện Tử Sinh Viên esshop.vn,,324500
3.96145E+13,03/04/2020,"70Mai pro, Wifi, GPS | Phiên bản quốc tế - Camera hành trình ô tô Xiaomi",1,1.789.500 ₫,Hoàn thành,aiovina - AIO VIỆT NAM,"Thẻ 64Gb,Có modul GPS",1789500
3.96145E+13,03/04/2020,Cáp Âm Thanh Sợi Quang Optical Chất Lượng Cao UGREEN,1,119.500 ₫,Hoàn thành,nytstore - NYT Store,1.5M,119500
3.51883E+13,12/02/2020,Đế Nâng Laptop Siêu Mỏng Moft Stand Universal,1,418.000 ₫,Hoàn thành,allocacoc - Allo Shop | MOFT Stand,,418000
3.51877E+13,12/02/2020,Đế Nâng Laptop Siêu Mỏng Moft Stand Universal,1,0 ₫,Đã hủy,allocacoc - Allo Shop | MOFT Stand,,0
3.46912E+13,06/02/2020,Nước hoa xe hơi Febreze Car Linen & Sky set 4 cái 2ml,1,264.500 ₫,Hoàn thành,the.rain - THE RAINㅤ,,264500
3.08778E+13,24/12/2019,[ Cáp IPhone ] sợi Kevlar siêu bền Baseus chính hãng,1,57.000 ₫,Hoàn thành,mikha_companyq7 - mikha_companyq7,"1M,Lighting [ Iphone ]",57000
Tổng cộng: ,,,11,5.001.450 ₫,,,,
